Start,-,End,MEALS2GO,MKT DINEIN
07:16 PM,-,07:30 PM,2,59
07:31 PM,-,07:45 PM,2,48
07:46 PM,-,08:00 PM,3,10
08:01 PM,-,08:15 PM,0,0
08:16 PM,-,08:30 PM,0,0
08:31 PM,-,08:45 PM,0,0
08:46 PM,-,09:00 PM,0,0
09:01 PM,-,09:15 PM,0,0
09:16 PM,-,09:30 PM,0,0
09:31 PM,-,09:45 PM,0,0
09:46 PM,-,10:00 PM,0,0
10:01 PM,-,10:15 PM,0,0
10:16 PM,-,10:30 PM,0,0
10:31 PM,-,10:45 PM,0,0
10:46 PM,-,11:00 PM,0,0
11:01 PM,-,11:15 PM,0,0
11:16 PM,-,11:30 PM,0,0
11:31 PM,-,11:45 PM,0,0
11:46 PM,-,12:00 AM,0,0
Day Totals:,0,181,"2,825",0
"Thursday, 01/22/2015",,,,
11:46 PM,-,12:00 AM,0,0
06:46 AM,-,07:00 AM,0,4
07:01 AM,-,07:15 AM,0,18
07:16 AM,-,07:30 AM,1,37
07:31 AM,-,07:45 AM,0,33
07:46 AM,-,08:00 AM,0,35
08:01 AM,-,08:15 AM,2,38
08:16 AM,-,08:30 AM,2,32
08:31 AM,-,08:45 AM,2,19
08:46 AM,-,09:00 AM,0,24
09:01 AM,-,09:15 AM,1,21
09:16 AM,-,09:30 AM,1,69
09:31 AM,-,09:45 AM,1,54
09:46 AM,-,10:00 AM,4,24
10:01 AM,-,10:15 AM,0,9
10:16 AM,-,10:30 AM,0,7
10:31 AM,-,10:45 AM,1,6
10:46 AM,-,11:00 AM,3,34
11:01 AM,-,11:15 AM,7,90
11:16 AM,-,11:30 AM,11,167
11:31 AM,-,11:45 AM,22,155
11:46 AM,-,12:00 PM,18,138
12:01 PM,-,12:15 PM,20,166
12:16 PM,-,12:30 PM,7,97
12:31 PM,-,12:45 PM,6,120
12:46 PM,-,01:00 PM,5,43
01:01 PM,-,01:15 PM,1,35
01:16 PM,-,01:30 PM,1,26
01:31 PM,-,01:45 PM,1,7
01:46 PM,-,02:00 PM,1,4
02:01 PM,-,02:15 PM,2,9
02:16 PM,-,02:30 PM,0,2
02:31 PM,-,02:45 PM,0,1
02:46 PM,-,03:00 PM,3,3
03:01 PM,-,03:15 PM,1,1
03:16 PM,-,03:30 PM,0,0
03:31 PM,-,03:45 PM,1,0
03:46 PM,-,04:00 PM,2,4
04:01 PM,-,04:15 PM,3,4
04:16 PM,-,04:30 PM,0,3
04:31 PM,-,04:45 PM,3,10
04:46 PM,-,05:00 PM,3,30
05:01 PM,-,05:15 PM,12,95
05:16 PM,-,05:30 PM,10,76
05:31 PM,-,05:45 PM,6,104
05:46 PM,-,06:00 PM,6,128
06:01 PM,-,06:15 PM,9,212
06:16 PM,-,06:30 PM,0,129
06:31 PM,-,06:45 PM,4,120
06:46 PM,-,07:00 PM,7,67
07:01 PM,-,07:15 PM,4,45
07:16 PM,-,07:30 PM,4,32
07:31 PM,-,07:45 PM,3,25
07:46 PM,-,08:00 PM,7,15
08:01 PM,-,08:15 PM,0,0
08:16 PM,-,08:30 PM,0,0
08:31 PM,-,08:45 PM,0,0
08:46 PM,-,09:00 PM,0,0
09:01 PM,-,09:15 PM,0,0
09:16 PM,-,09:30 PM,0,0
09:31 PM,-,09:45 PM,0,0
09:46 PM,-,10:00 PM,0,0
10:01 PM,-,10:15 PM,0,0
10:16 PM,-,10:30 PM,0,0
10:31 PM,-,10:45 PM,0,0
10:46 PM,-,11:00 PM,0,0
11:01 PM,-,11:15 PM,0,0
11:16 PM,-,11:30 PM,0,0
11:31 PM,-,11:45 PM,0,0
11:46 PM,-,12:00 AM,0,0
Day Totals:,0,208,"2,627",0
"Friday, 01/23/2015",,,,
06:46 AM,-,07:00 AM,0,3
07:01 AM,-,07:15 AM,0,18
07:16 AM,-,07:30 AM,3,53
07:31 AM,-,07:45 AM,2,68
07:46 AM,-,08:00 AM,3,22
08:01 AM,-,08:15 AM,1,26
08:16 AM,-,08:30 AM,1,41
08:31 AM,-,08:45 AM,3,69
08:46 AM,-,09:00 AM,8,40
09:01 AM,-,09:15 AM,0,32
09:16 AM,-,09:30 AM,1,33
09:31 AM,-,09:45 AM,1,43
09:46 AM,-,10:00 AM,2,34
10:01 AM,-,10:15 AM,1,6
10:16 AM,-,10:30 AM,0,7
10:31 AM,-,10:45 AM,0,6
10:46 AM,-,11:00 AM,4,56
11:01 AM,-,11:15 AM,15,57
11:16 AM,-,11:30 AM,4,41
11:31 AM,-,11:45 AM,8,58
11:46 AM,-,12:00 PM,14,188
12:01 PM,-,12:15 PM,13,275
12:16 PM,-,12:30 PM,17,113
12:31 PM,-,12:45 PM,16,73
12:46 PM,-,01:00 PM,11,76
01:01 PM,-,01:15 PM,9,66
01:16 PM,-,01:30 PM,3,24
01:31 PM,-,01:45 PM,2,4
01:46 PM,-,02:00 PM,3,4
02:01 PM,-,02:15 PM,9,11
02:16 PM,-,02:30 PM,4,3
02:31 PM,-,02:45 PM,2,1
02:46 PM,-,03:00 PM,0,5
03:01 PM,-,03:15 PM,5,4
03:16 PM,-,03:30 PM,5,0
03:31 PM,-,03:45 PM,4,1
03:46 PM,-,04:00 PM,3,1
04:01 PM,-,04:15 PM,5,1
04:16 PM,-,04:30 PM,3,1
04:31 PM,-,04:45 PM,6,6
04:46 PM,-,05:00 PM,5,53
05:01 PM,-,05:15 PM,11,81
05:16 PM,-,05:30 PM,9,91
05:31 PM,-,05:45 PM,5,105
05:46 PM,-,06:00 PM,5,86
06:01 PM,-,06:15 PM,4,134
06:16 PM,-,06:30 PM,10,96
06:31 PM,-,06:45 PM,3,99
06:46 PM,-,07:00 PM,7,87
07:01 PM,-,07:15 PM,3,14
07:16 PM,-,07:30 PM,0,0
07:31 PM,-,07:45 PM,0,0
07:46 PM,-,08:00 PM,0,0
08:01 PM,-,08:15 PM,0,0
08:16 PM,-,08:30 PM,0,0
08:31 PM,-,08:45 PM,0,0
08:46 PM,-,09:00 PM,0,0
09:01 PM,-,09:15 PM,0,0
09:16 PM,-,09:30 PM,0,0
09:31 PM,-,09:45 PM,0,0
09:46 PM,-,10:00 PM,0,0
10:01 PM,-,10:15 PM,0,0
10:16 PM,-,10:30 PM,0,0
10:31 PM,-,10:45 PM,0,0
10:46 PM,-,11:00 PM,0,0
11:01 PM,-,11:15 PM,0,0
11:16 PM,-,11:30 PM,0,0
11:31 PM,-,11:45 PM,0,0
11:46 PM,-,12:00 AM,0,0
Day Totals:,0,253,"2,416",0
"Saturday, 01/24/2015",,,,
12:01 AM,-,12:15 AM,0,0
08:46 AM,-,09:00 AM,0,2
09:01 AM,-,09:15 AM,0,38
09:16 AM,-,09:30 AM,0,39
09:31 AM,-,09:45 AM,0,34
09:46 AM,-,10:00 AM,0,38
10:01 AM,-,10:15 AM,0,1
11:01 AM,-,11:15 AM,0,0
11:16 AM,-,11:30 AM,0,9
11:31 AM,-,11:45 AM,0,176
11:46 AM,-,12:00 PM,0,120
12:01 PM,-,12:15 PM,0,137
12:16 PM,-,12:30 PM,0,122
12:31 PM,-,12:45 PM,0,85
12:46 PM,-,01:00 PM,0,56
01:01 PM,-,01:15 PM,0,55
01:16 PM,-,01:30 PM,0,66
01:31 PM,-,01:45 PM,0,0
01:46 PM,-,02:00 PM,0,0
02:01 PM,-,02:15 PM,0,0
02:16 PM,-,02:30 PM,0,0
02:31 PM,-,02:45 PM,0,0
02:46 PM,-,03:00 PM,0,0
03:01 PM,-,03:15 PM,0,0
03:16 PM,-,03:30 PM,0,0
03:31 PM,-,03:45 PM,0,0
03:46 PM,-,04:00 PM,0,0
04:01 PM,-,04:15 PM,0,0
04:16 PM,-,04:30 PM,0,0
04:31 PM,-,04:45 PM,0,0
04:46 PM,-,05:00 PM,0,0
05:01 PM,-,05:15 PM,0,112
05:16 PM,-,05:30 PM,0,75
05:31 PM,-,05:45 PM,0,86
05:46 PM,-,06:00 PM,0,123
06:01 PM,-,06:15 PM,0,162
06:16 PM,-,06:30 PM,0,129
06:31 PM,-,06:45 PM,0,127
06:46 PM,-,07:00 PM,0,79
07:01 PM,-,07:15 PM,0,0
07:16 PM,-,07:30 PM,0,0
07:31 PM,-,07:45 PM,0,0
07:46 PM,-,08:00 PM,0,0
