Start,-,End,MEALS2GO,MKT DINEIN
11:31 AM,-,11:45 AM,0,58
11:46 AM,-,12:00 PM,0,85
12:01 PM,-,12:15 PM,0,105
12:16 PM,-,12:30 PM,0,50
12:31 PM,-,12:45 PM,0,28
12:46 PM,-,1:00 PM,0,9
1:01 PM,-,1:15 PM,0,5
1:16 PM,-,1:30 PM,0,42
1:31 PM,-,1:45 PM,0,16
1:46 PM,-,2:00 PM,0,46
2:01 PM,-,2:15 PM,0,0
3:01 PM,-,3:15 PM,0,0
3:16 PM,-,3:30 PM,0,0
3:31 PM,-,3:45 PM,0,0
3:46 PM,-,4:00 PM,0,0
5:31 PM,-,5:45 PM,0,65
5:46 PM,-,6:00 PM,0,82
6:01 PM,-,6:15 PM,0,49
6:16 PM,-,6:30 PM,0,48
6:31 PM,-,6:45 PM,0,163
6:46 PM,-,7:00 PM,0,96
7:01 PM,-,7:15 PM,0,102
7:16 PM,-,7:30 PM,0,69
7:31 PM,-,7:45 PM,0,6
Day Totals:,0,0,"1,405",0
"Saturday, 08/22/2015",,,,
8:01 AM,-,8:15 AM,0,30
8:16 AM,-,8:30 AM,0,43
8:31 AM,-,8:45 AM,0,69
8:46 AM,-,9:00 AM,0,60
9:01 AM,-,9:15 AM,0,101
9:16 AM,-,9:30 AM,0,27
11:16 AM,-,11:30 AM,0,2
11:31 AM,-,11:45 AM,0,157
11:46 AM,-,12:00 PM,0,77
12:01 PM,-,12:15 PM,0,105
12:16 PM,-,12:30 PM,0,68
12:31 PM,-,12:45 PM,0,47
12:46 PM,-,1:00 PM,0,62
1:01 PM,-,1:15 PM,0,41
1:16 PM,-,1:30 PM,0,45
1:31 PM,-,1:45 PM,0,0
2:16 PM,-,2:30 PM,0,66
2:31 PM,-,2:45 PM,0,38
2:46 PM,-,3:00 PM,0,22
3:16 PM,-,3:30 PM,0,0
3:31 PM,-,3:45 PM,0,0
